Group,PartialICD9
1,410
1,412
2,39891
2,40201
2,40211
2,40291
2,40401
2,40403
2,40411
2,40413
2,40491
2,40493
2,4254
2,4255
2,4256
2,4257
2,4258
2,4259
2,428
3,0930
3,4373
3,440
3,441
3,4431
3,4432
3,4433
3,4434
3,4435
3,4436
3,4437
3,4438
3,4439
3,471
3,5571
3,5579
3,V434
4,36234
4,430
4,431
4,432
4,433
4,434
4,435
4,436
4,437
4,438
5,290
5,2941
5,3312
6,4168
6,4169
6,490
6,491
6,492
6,493
6,494
6,495
6,496
6,497
6,498
6,499
6,500
6,501
6,502
6,503
6,504
6,505
6,5064
6,5081
6,5088
7,4465
7,7100
7,7101
7,7102
7,7103
7,7104
7,7140
7,7141
7,7142
7,7148
7,725
8,531
8,532
8,533
8,534
9,07022
9,07023
9,07032
9,07033
9,07044
9,07054
9,0706
9,0709
9,570
9,571
9,5733
9,5734
9,5738
9,5739
9,V427
10,2500
10,2501
10,2502
10,2503
10,2508
10,2509
11,2504
11,2505
11,2506
11,2507
12,3341
12,342
12,343
12,3440
12,3441
12,3442
12,3443
12,3444
12,3445
12,3446
12,3449
13,40301
13,40311
13,40391
13,40402
13,40403
13,40412
13,40413
13,40492
13,40493
13,582
13,5830
13,5831
13,5832
13,5833
13,5834
13,5835
13,5836
13,5837
13,585x
13,586x
13,5880
13,V420
13,V451
13,V56
14,140
14,141
14,142
14,143
14,144
14,145
14,146
14,147
14,148
14,149
14,150
14,151
14,152
14,153
14,154
14,155
14,156
14,157
14,158
14,159
14,160
14,161
14,162
14,163
14,164
14,165
14,166
14,167
14,168
14,169
14,170
14,171
14,172
14,174
14,175
14,176
14,177
14,178
14,179
14,180
14,181
14,182
14,183
14,184
14,185
14,186
14,187
14,188
14,189
14,190
14,191
14,192
14,193
14,194
14,195
15,200
15,201
15,202
15,203
15,204
15,205
15,206
15,207
15,208
15,2386
16,4560
16,4561
16,4562
16,5722
16,5723
16,5724
16,5725
16,5726
16,5727
16,5728
17,196
17,197
17,198
17,199
18,042
18,043
18,044
